dataset,days,ncol,nrow,config_train,alg,score,t_run_s, t_fitted,nfrostorig,ntrain,nfrostsmote,var,RMSE,r2,Sensitivity,Acc,Precision,Specificity
dacc-spring,1,34,1829,smote,hc,loglik-g,20.177,0.056,348,2958,1392,tunuyan.temp_min_t,3.16,0.68,0.7,0.87,0.78,0.93
dacc-temp,1,20,5517,smote,hc,aic-g,2.115,0.02,567,4819,2268,las_paredes.temp_min_t,3.04,0.82,0.75,0.9,0.7,0.93
dacc,1,35,5517,smote,hc,bic-g,37.796,0.121,1057,8984,4228,tunuyan.temp_min_t,2.74,0.86,0.82,0.91,0.87,0.94
dacc-temp,1,20,5517,smote,hc,aic-g,2.829,0.03,698,5933,2792,la_llave.temp_min_t,3.12,0.83,0.79,0.89,0.74,0.92
dacc-spring,1,34,1829,smote,hc,loglik-g,8.18,0.029,163,1385,652,agua_amarga.temp_min_t,2.71,0.73,0.62,0.91,0.54,0.95
dacc,1,35,5517,smote,hc,bic-g,12.579,0.045,496,4216,1984,agua_amarga.temp_min_t,2.09,0.9,0.71,0.93,0.76,0.96
dacc-temp,1,20,5517,smote,hc,bge,11.898,0.011,390,3315,1560,junin.temp_min_t,2.17,0.9,0.75,0.94,0.75,0.96
dacc-spring,1,34,1829,smote,hc,loglik-g,10.82,0.038,216,1836,864,las_paredes.temp_min_t,3.05,0.69,0.64,0.89,0.58,0.93
dacc,1,35,5517,smote,hc,bic-g,14.766,0.053,567,4819,2268,las_paredes.temp_min_t,2.78,0.84,0.72,0.9,0.73,0.94
dacc-spring,1,34,1829,smote,hc,loglik-g,12.115,0.04,242,2057,968,la_llave.temp_min_t,3.53,0.65,0.68,0.87,0.62,0.91
dacc-spring,1,34,1829,smote,hc,aic-g,3.311,0.015,118,1003,472,junin.temp_min_t,2.69,0.74,0.58,0.93,0.5,0.95
dacc-spring,1,34,1829,smote,hc,aic-g,15.77,0.121,348,2958,1392,tunuyan.temp_min_t,3.14,0.68,0.7,0.88,0.8,0.94
dacc,1,35,5517,smote,hc,bic-g,23.726,0.066,698,5933,2792,la_llave.temp_min_t,2.99,0.84,0.79,0.9,0.76,0.93
dacc-spring,1,34,1829,smote,hc,aic-g,6.17,0.02,163,1385,652,agua_amarga.temp_min_t,2.71,0.73,0.64,0.92,0.55,0.95
