dataset,days,ncol,nrow,config_train,alg,score,t_run_s, t_fitted,nfrostorig,ntrain,nfrostsmote,var,RMSE,r2,Sensitivity,Acc,Precision,Specificity
dacc-temp,1,20,5517,normal,local,bic-g,0,0.001,NA,3751,NA,junin.temp_min_t,2.25,0.89,0.51,0.93,0.83,0.99
dacc-temp,1,20,5517,normal,local,bic-g,0,0.001,NA,3751,NA,tunuyan.temp_min_t,2.95,0.84,0.75,0.88,0.85,0.94
dacc-temp,1,20,5517,normal,local,bic-g,0,0.001,NA,3751,NA,agua_amarga.temp_min_t,2.4,0.86,0.55,0.91,0.79,0.98
dacc-temp,1,20,5517,normal,local,bic-g,0,0.001,NA,3751,NA,las_paredes.temp_min_t,3.08,0.8,0.58,0.9,0.82,0.97
dacc-temp,1,20,5517,normal,local,bic-g,0,0.001,NA,3751,NA,la_llave.temp_min_t,3.2,0.82,0.65,0.88,0.79,0.95
dacc-temp,1,20,5517,smote,local,bic-g,0,0.001,390,3315,1560,junin.temp_min_t,2.25,0.89,0.7,0.94,0.78,0.97
dacc-temp,1,20,5517,smote,local,bic-g,0,0.001,1057,8984,4228,tunuyan.temp_min_t,2.94,0.84,0.79,0.89,0.84,0.93
dacc-temp,1,20,5517,smote,local,bic-g,0,0.001,496,4216,1984,agua_amarga.temp_min_t,2.4,0.86,0.64,0.92,0.75,0.96
dacc-temp,1,20,5517,smote,local,bic-g,0,0.001,567,4819,2268,las_paredes.temp_min_t,3.14,0.8,0.72,0.9,0.73,0.94
dacc-temp,1,20,5517,smote,local,bic-g,0,0.001,698,5933,2792,la_llave.temp_min_t,3.23,0.82,0.76,0.89,0.75,0.93
dacc-spring,1,34,1829,smote,hc,bge,53.698,0.02,216,1836,864,las_paredes.temp_min_t,2.98,0.7,0.67,0.91,0.66,0.95
dacc-temp,2,35,5516,normal,hc,bic-g,6.159,0.029,NA,3750,NA,junin.temp_min_t,2.12,0.9,0.59,0.93,0.84,0.98
dacc-temp,2,35,5516,normal,hc,bic-g,6.159,0.029,NA,3750,NA,tunuyan.temp_min_t,2.77,0.85,0.78,0.89,0.86,0.94
