"","date-max","X21.HumRel-max","X45.soilMoisture-max","X44.soilMoisture-max","X28.temp-max","X27.temp-max","X25.temp-max","X24.temp-max","X23.temp-max","X22.temp-max","X21.temp-max","X21.HumRel-mean","X45.soilMoisture-mean","X44.soilMoisture-mean","X28.temp-mean","X27.temp-mean","X25.temp-mean","X24.temp-mean","X23.temp-mean","X22.temp-mean","X21.temp-mean","X21.HumRel-min","X45.soilMoisture-min","X44.soilMoisture-min","X28.temp-min","X27.temp-min","X25.temp-min","X24.temp-min","X23.temp-min","X22.temp-min","X21.temp-min"
"41",2011-08-02,92.0041933448035,28.5,24.7,8.6,8.3,8.25,8.06,9,8.38,8.11,89.5040852038199,26.2740613735289,23.297878979585,7.11764966338898,6.68982196884274,6.60736515638798,6.69092589973987,7.29616033646048,6.63068154616665,6.48830210245927,81,24.6,22.5,6,5.3,5.44,5.75,6.2,5.5,5.33
"42",2011-08-03,89,24.8,23,14.4,14.6,14.63,14.19,15.4,14.25,13.63,73.2593302098731,23.3223633771836,22.1323215271452,9.47262983860165,8.7388385256114,8.79152661908827,8.54179798895778,9.21760097583286,8.77178588207591,8.63068989403681,55,21.6,21.1,5.3,4.7,4.13,4.13,4.5,4.69,4.17
"43",2011-08-04,91,22.7,22,13.3,14.4,13.06,12.56,13.8,13.5,12.97,77.8541666666667,21.7177083333333,21.3421417024128,5.9375,5.62672456947578,5.65376154144953,5.31438569793329,5.31868531992188,5.19114583333333,4.9521875,54,20.7,20.6,-0.7,-0.5,-1.31,-1.19,-1.3,-1.5,-1.71
"44",2011-08-05,89,21.8,21.6,18.8,19.3,18.19,17.69,18.7,18.38,18.13,73.5666245715645,21.004736997553,20.8618702987518,8.72124836289116,8.76998770588418,8.53608286700579,8.29702696158018,8.4915876318422,8.16636150633626,7.91573981474883,48,20.1,20.1,1,1.1,0.63,1.63,1.1,0.31,0.21
"45",2011-08-06,89,21.5,21.1,21.4,21,21.56,21.44,21.9,21.31,20.97,70.03125,20.5760416666667,20.25,12.1520833333333,11.8927083333333,11.6998958333333,11.2557291666667,11.2208333333333,10.8722916666667,10.8311458333333,38,19.5,19.3,3.8,4.6,3.38,3,2.6,2.31,2.91
"46",2011-08-07,81,21.1,20.1,23.4,22.4,23.19,22.88,24.1,22.25,22.65,67.8645833333333,20.26875,19.5729166666667,16.5572916666667,16.0583333333333,16.1645833333333,16.0560416666667,16.5229166666667,15.9076041666667,15.5894791666667,56,19,18.7,10.5,10.2,10.19,10,10.5,10.13,9.59
"47",2011-08-08,87,20.7,19.8,19.1,18.8,18.81,18.75,19.4,18.81,18.72,83.2265968363835,19.9366617663497,18.8958762886598,15.7350358912682,15.476781925825,15.2955406691393,15.4102909450802,15.920083713761,15.3735938585146,15.1779028629717,77,19,17.9,13.9,13.5,13.38,13.63,13.9,13.5,13.19
"48",2011-08-09,87,20.6,19.3,20.7,20.1,19.88,19.94,20.4,20.13,20.51,80.2061902967553,19.7794141780445,18.5003444927383,16.6803981630022,16.3839353184718,16.2522680412371,16.3027743940666,16.8432701157854,16.3021485410658,16.1109626005458,69,19.2,17.6,14,14,13.69,13.63,14,13.94,13.45
"49",2011-08-10,89,20.1,18.5,23.7,23.6,23.88,23.19,24.5,23.5,23.65,76.8296049607926,19.4142472912055,17.912719334917,17.7556701030928,17.6112821064964,17.5006853303677,17.3405324527955,18.0347663102148,17.5287168731079,17.3171971211763,59,18.2,17.1,13.7,13.7,13.25,12.88,12.6,12.69,12.77
"50",2011-08-11,92,20.1,17.9,27.1,28.1,26.44,26.31,27.3,26.88,26.55,79.5625,19.0645833333333,16.390625,18.6427083333333,18.525,18.1914583333333,17.9001041666667,18.5208333333333,17.8493412848752,17.8522916666667,58,17.9,15.3,10.9,11.2,10.44,9.94,9.9,9.31,9.93
