"","date","junin.temp_max","junin.humedad_max","junin.temp_med","junin.radiacion_med","junin.humedad_med","junin.temp_min","junin.humedad_min","tunuyan.temp_max","tunuyan.humedad_max","tunuyan.temp_med","tunuyan.radiacion_med","tunuyan.humedad_med","tunuyan.temp_min","tunuyan.humedad_min","agua_amarga.temp_max","agua_amarga.humedad_max","agua_amarga.temp_med","agua_amarga.radiacion_med","agua_amarga.humedad_med","agua_amarga.temp_min","agua_amarga.humedad_min","las_paredes.temp_max","las_paredes.humedad_max","las_paredes.temp_med","las_paredes.radiacion_med","las_paredes.humedad_med","las_paredes.temp_min","las_paredes.humedad_min","la_llave.temp_max","la_llave.humedad_max","la_llave.temp_med","la_llave.radiacion_med","la_llave.humedad_med","la_llave.temp_min","la_llave.humedad_min"
"2009-05-31",2009-05-31,10.8,99,7.21428571428571,1,91.7142857142857,3.57,78,17.27,87,7.95416666666667,1,58.9166666666667,-1.3,27,15.73,62,9.75416666666667,151.75,45.875,2.95,34,17.6228354018367,86.1230654695163,9.64807441639374,22.0214483892426,60.9347082103115,0.895152260629666,39.2331207405693,19.62,83,9.11666666666667,1,56.2916666666667,-0.66,26
"2009-06-01",2009-06-01,14.0583429557909,89.4481172678073,6.75523315476088,182.283913025518,76.4955023462937,3.0311257731415,46.1313225842354,14.49,86,5.46666666666667,1,65,-3.31,40,11.77,77,6.0695652173913,95,61.2173913043478,0.11,48,15.5242341704114,73.3668878545873,7.7742996421241,23.7667136015294,51.1629241032899,1.40582450923931,34.9731013549081,15.47,85,7.262,1,55.36,-1.86,33
"2009-06-02",2009-06-02,17.38,84,11.5266666666667,215.866666666667,52.3333333333333,4.16,34,16.29,73,9.6,1,51,1.11,28,14.59,60,9.125,146.208333333333,49.0833333333333,4.36,36,16.2402933028239,56.3752731306824,9.94425217014652,-51.7032640964857,48.3379383379584,5.36593869263788,43.054542760574,17.92,81,8.675,1,50.1666666666667,-2.21,29
"2009-06-03",2009-06-03,16.65,95,6.99166666666667,118.583333333333,73.7916666666667,1.13,40,18.43,86,5.325,1,62.75,-2.88,25,17.02,70,7.31666666666667,122.833333333333,53.6666666666667,0.11,34,17.9760597350456,66.4209911657463,6.28543770167007,13.8936278908585,49.3494631808054,0.214762932454713,29.9647767718201,19.13,65,9.74583333333333,1,48.5,2.29,32
"2009-06-04",2009-06-04,23.43,98,10.4083333333333,134.458333333333,61.625,1.9,19,22.92,86,7.648,1,50.24,-2.65,10,20.75,61,11.0458333333333,150.666666666667,36.5,4.08,17,21.4613289935361,73.1671071943727,10.7853511893164,17.0544368465412,48.720475877638,-0.874177935275893,28.0102110222477,21.27,80,7.57083333333333,1,55.2916666666667,-3.46,26
"2009-06-05",2009-06-05,19.98,79,10.0416666666667,134.458333333333,54.2083333333333,2.72,29,17.66,81,5.8875,1,55.4583333333333,-3.16,26,16.04,55,8.79166666666667,147.708333333333,42.5,1.31,32,19.3053319466263,49.6406150658766,12.0616920320102,61.4622651002425,39.8566950164118,5.32546616741485,27.5676241659074,20,77,7.625,1,51.4583333333333,-2.88,26
"2009-06-06",2009-06-06,18.72,83,9.04166666666667,130.333333333333,61.2083333333333,2.44,32,19.26,85,5.52083333333333,1,59.2916666666667,-3.57,21,16.94,65,8.19583333333333,138.5,48.75,1.31,31,20.5681567869283,74.7498984176338,8.65937004836356,18.1741657970166,51.1998272182625,0.659914187325344,33.4730749572978,19.54,74,7.168,1.0143232275006,51.92,-1.58,29
"2009-06-07",2009-06-07,18.36,91,7.5,126.25,68.0416666666667,0.85,34,18.51,84,5.41666666666667,1,58.9166666666667,-3.95,25,16.11,67,7.82916666666667,145.333333333333,50.0416666666667,0.42,33,14.9812037204341,65.082369133497,9.97522382513012,46.0495789128171,42.6878550524328,1.51014669585308,29.3280215668423,19.93,79,7.42083333333333,1.04356648364765,53.75,-2.21,29
"2009-06-08",2009-06-08,17.79,90,8.31666666666667,129.041666666667,65.5416666666667,2.16,36,18.54,84,5.59166666666667,1,58.9166666666667,-3.26,25,16.65,67,7.64583333333333,144.583333333333,50.8333333333333,1.13,32,20.1594532213539,72.8107807588098,8.55891980786104,6.48412021397543,54.7441610464112,-2.71469853957522,34.0486969410101,16.86,80,6.575,1.07221293864884,58,-1.25,35
"2009-06-09",2009-06-09,18.85,92,7.80416666666667,131.958333333333,68.7916666666667,1.57,35,19.52,84,5.09583333333333,1,58.8333333333333,-5.02,21,18.15,67,7.09166666666667,147.5,48.2916666666667,-1.14,22,22.9838118278385,60.3305993857002,10.4613043754425,41.9943646355624,36.9522667023859,0.939168498562821,12.9486326652,23.02,81,8.23333333333333,1.10085939365004,53.2083333333333,-2.34,22
